"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
70,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","吉礼","吉礼","8",370000,"20000","","60",6100,"ほぼ整形","9.2","","","","","その他","西","私道",6.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","","調停・競売等、私道を含む取引"
71,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","杭ノ瀬","宮前","6",25000000,"","","140",,"ほぼ長方形","9.5","100","令和2年","木造","住宅","住宅","北","市道",6.2,"第１種住居地域",60,200,"2020年第４四半期","",""
72,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","杭ノ瀬","宮前","3",12000000,"","","100",,"ほぼ長方形","7.0","100","昭和62年","鉄骨造","","住宅","南","私道",3.8,"第１種住居地域",60,200,"2020年第４四半期","",""
73,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","楠本","紀伊","18",2200000,"220000","","35",66000,"ほぼ正方形","","","","","","","北","県道",19.5,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
74,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","黒田","和歌山","15",180000000,"","","530",,"不整形","16.0","600","令和3年","軽量鉄骨造","共同住宅","","北","市道",4.0,"第１種住居地域",60,200,"2020年第４四半期","",""
75,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","毛見","海南","30分?60分",9800000,"110000","","280",34000,"ほぼ長方形","12.0","","","","","倉庫","北","市道",7.0,"第１種住居地域",60,200,"2020年第４四半期","",""
76,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","毛見","海南","30分?60分",10000000,"120000","","290",35000,"長方形","14.0","","","","","倉庫","北","市道",7.0,"第１種住居地域",60,200,"2020年第４四半期","",""
77,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","毛見","海南","30分?60分",9800000,"110000","","290",34000,"ほぼ長方形","14.0","","","","","倉庫","北","市道",7.0,"第１種住居地域",60,200,"2020年第４四半期","",""
78,"中古マンション等","","30201","和歌山県","和歌山市","毛見","海南","30分?60分",8000000,"","１ＬＤＫ","40",,"","","","平成9年","ＳＲＣ","","その他","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
79,"中古マンション等","","30201","和歌山県","和歌山市","毛見","海南","30分?60分",20000000,"","２ＬＤＫ","75",,"","","","平成9年","ＲＣ","住宅","その他","","",,"第１種低層住居専用地域",60,200,"2020年第４四半期","改装済",""
80,"中古マンション等","","30201","和歌山県","和歌山市","毛見","海南","30分?60分",27000000,"","２ＬＤＫ","95",,"","","","平成11年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
81,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","毛見","紀三井寺","30分?60分",48000000,"","","370",,"ほぼ長方形","30.0","300","平成28年","木造","住宅","住宅","北","市道",6.0,"近隣商業地域",80,300,"2020年第４四半期","",""
82,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","毛見","黒江","20",1100000,"17000","","210",5200,"不整形","13.0","","","","","住宅","北西","市道",8.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
83,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","神前","竈山","8",58000000,"140000","","1400",43000,"不整形","50.0m以上","","","","","","接面道路無","",,"市街化調整区域",60,200,"2020年第４四半期","",""
84,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","神前","神前(和歌山)","6",1900000,"","","50",,"ほぼ長方形","4.3","60","昭和60年","木造","住宅","住宅","東","私道",5.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
85,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","神前","神前(和歌山)","4",23000000,"","","125",,"ほぼ長方形","10.3","100","令和2年","木造","住宅","住宅","東","私道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
86,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","神前","神前(和歌山)","5",9000000,"220000","","135",66000,"ほぼ整形","12.4","","","","","住宅","西","私道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
87,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","神波","紀伊","16",14000000,"230000","","195",70000,"ほぼ長方形","10.0","","","","","","南","県道",10.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
88,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","神波","紀伊","21",4800000,"180000","","90",54000,"ほぼ整形","34.0","","","","","","南","県道",20.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
89,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","小雑賀","紀三井寺","16",23000000,"200000","","390",61000,"ほぼ長方形","18.0","","","","","","東","私道",6.0,"準工業地域",60,200,"2020年第４四半期","",""
90,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","小雑賀","宮前","19",5900000,"170000","","115",51000,"不整形","50.0m以上","","","","","住宅","北","市道",4.5,"第１種住居地域",60,200,"2020年第４四半期","",""
91,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","小松原","和歌山市","30分?60分",26000000,"","","195",,"ほぼ長方形","13.0","210","平成9年","木造","住宅","その他","南","道路",4.5,"第１種住居地域",60,200,"2020年第４四半期","",""
92,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","古屋","八幡前(和歌山)","4",3000000,"","","610",,"ほぼ整形","9.8","65","","木造","住宅","住宅","南西","私道",3.0,"第１種住居地域",60,200,"2020年第４四半期","","隣地の購入、私道を含む取引"
93,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","古屋","八幡前(和歌山)","4",2000000,"46000","","145",14000,"ほぼ台形","9.0","","","","","その他","北西","市道",3.8,"第１種住居地域",60,200,"2020年第４四半期","",""
94,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","古屋","八幡前(和歌山)","8",2600000,"","","120",,"長方形","7.7","70","昭和49年","木造","住宅","住宅","南西","私道",4.0,"第１種住居地域",60,200,"2020年第４四半期","",""
95,"宅地(土地)","工業地","30201","和歌山県","和歌山市","雑賀崎","和歌山市","1H?1H30",35000000,"70000","","1700",21000,"ほぼ長方形","36.0","","","","","工場","南東","私道",12.6,"工業専用地域",60,200,"2020年第４四半期","",""
96,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","栄谷","和歌山大学前","15",37000000,"","","230",,"長方形","13.0","120","令和2年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
97,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","栄谷","和歌山大学前","30分?60分",36000000,"","","170",,"長方形","13.0","125","平成29年","木造","住宅","住宅","東","私道",6.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
98,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","栄谷","和歌山大学前","21",87000000,"200000","","1400",60000,"ほぼ整形","","","","","","住宅","北","私道",5.8,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
